schema_name,table_name
dm,temp_ls_professional_data
dm,temp_mrr_customer_classification
dm,temp_mrr_customer_daily_all_products
dm,temp_mrr_customer_monthly_category
dm,temp_order_line_purchase_fact_blockcount
dm,temp_persistent_session_users_all
dm,temp_persistent_session_users_backup
dm,temp_persistent_session_users_backup_0129
dm,temp_persistent_session_users_from_ci
dm,temp_persistent_session_users_unique
dm,temp_professional_event_fact
dm,temp_profnl_delivered_impressions_daily
dm,temp_profnl_target_impressions
dm,temp_promo_market
dm,temp_reg_user_visits
dm,temp_reg_user_visits2
dm,temp_sem_impressions_forecast
dm,temp_sem_indeed_acv_cost
dm,temp_sem_weight_cost_imprsn
dm,temp_sf_onetime_claimed_professional_path1
dm,temp_sf_onetime_claimed_professional_path5
dm,temp_sf_onetime_claimed_professional_path6
dm,temp_sf_onetime_professional_email_subs_path3
dm,temp_sf_onetime_professional_review_path2
dm,temp_sf_onetime_professional_specialty_path4
dm,temp_stg_billing_report_purchase
dm,temp_stg_impressions_forecast
dm,temp_stg_lead_score_market_score
dm,temp_stg_lead_score_score_driver
dm,temp_stg_lead_score_sellthrough
dm,temp_stg_mrr2_customer_classification
dm,temp_stg_mrr2_subscription
dm,temp_stg_mrr_customer_classification
dm,temp_stg_profnl_delivered_impressions
dm,temp_stg_profnl_delivered_impressions_daily
dm,temp_stg_profnl_target_impressions
dm,temp_stg_sem_impressions
dm,temp_stg_target_impressions
dm,temp_traffic_all
dm,temp_traffic_backup
dm,temp_traffic_backup_0129
dm,temp_traffic_unique
dm,temp_waitlist_test
dm,templt_page_typ_lkup
dm,test_ext_2
dm,test_ext_22
dm,tomahawk
dm,tomahawk2
dm,tomahawk_paid_channels
dm,tomahawk_pricing
dm,total_impressions
dm,tps_report
dm,tps_report2
dm,tps_report_archive
dm,traffic
dm,traffic_new
dm,twilio_phone_attribution
dm,user_account_dimension
dm,user_acct_dim
dm,v_ad_pricing_fact_block
dm,v_lz_ad_mkt_block_pricing
dm,view_register_user_metrics_report
dm,visitors_count
dm,waitinglist_report
dm,waitinglist_report_bkp
dm,web_analytic_evnt_typ_dim
dm,webanalytics
dm,webanalytics_ad_attribution
dm,webanalytics_ad_attribution_by_session
dm,webanalytics_ad_attribution_market_bleed
dm,webanalytics_ad_attribution_v0
dm,webanalytics_ad_attribution_v1
dm,webanalytics_ad_attribution_v2
dm,webanalytics_ad_attribution_v3
dm,webanalytics_ad_attribution_v3_4417
dm,webanalytics_ad_attribution_v4
dm,webanalytics_ad_block_performance
dm,webanalytics_ad_block_performance_hist
dm,webanalytics_ad_block_performance_v4_hist
dm,webanalytics_ad_impression_forecast
dm,webanalytics_ad_impression_forecast_hist
dm,webanalytics_ad_impression_forecast_v4_hist
dm,webanalytics_ad_weight
dm,webanalytics_ad_weight_hist
dm,webanalytics_ad_weight_v4_hist
dm,webanalytics_attribution
dm,webanalytics_blocked
dm,webanalytics_display_ad_impression_forecast
dm,webanalytics_display_ad_impression_forecast_hist
dm,webanalytics_display_ad_impression_forecast_v4_hist
dm,website_inventory_dimension
dm,yan_simple_cat_questions
dm,zip_data
pl,ad_events_metric
pl,ad_weights_metric
pl,amm_page_type_daily_impressions
pl,amm_page_type_daily_pageviews
pl,amm_page_type_monthly_impressions
pl,block_release_da_monthly
pl,block_release_monthly
pl,channel_identity_taxonomy
pl,channel_mapping
pl,date_dimension
pl,market_metrics_sl_block_monthly
pl,month_dimension
pl,mrr_category_monthly
pl,mrr_customer_monthly
pl,northstar_professional_daily
pl,order_line_billings_fact
pl,page_identity_taxonomy
pl,seoclarity_getkeywords
pl,services_event_detail
pl,subs_cust_prof_status_daily_all_products
pl,total_impressions
rev,aadwords_keyword_performance_pbx_20200125
rev,abandoned_lawyer_data_exacttarge
rev,abandoned_lawyer_data_exacttarget
rev,abandoned_lawyer_data_exacttargt
rev,account_user_professional_acl_ib
rev,active_ad_templates
rev,active_ad_templates_20190613
rev,active_ad_templates_test
rev,active_ad_templates_version
rev,active_professionals
rev,ad_attribution_v3_all
rev,ad_customer_professional_map
rev,ad_customer_professional_map_20190221
rev,ad_event_metrics
rev,ad_events_metric_20190625
rev,ad_events_metric_pageidentity
rev,ad_impression_backup_201907_d847
rev,ad_impression_backup_20190905
rev,ad_inventory_current
rev,ad_inventory_yesterday
rev,ad_market_dimension_20160303
rev,ad_markets
rev,ad_pricing_ppc_07282017
rev,ad_pricing_ppc_20170731
rev,ad_template_list
rev,ad_template_metrics_daily
rev,ad_template_metrics_monthly
rev,ad_template_metrics_weekly
rev,ad_template_metrics_weekly_bkp
rev,ad_tenplate_list_bkp_20190611
rev,ad_weight_distribution
rev,ad_weight_simplified
rev,ad_weights_metric
rev,ad_weights_traffic_analysis
rev,adam_abandoned_professionals
rev,advice_session_fact_20160414
rev,adwords_ad_group_name_update
rev,adwords_ad_performance_20161013
rev,adwords_keyword_performance
rev,adwords_keyword_performance_20151110
rev,adwords_keyword_performance_20151214
rev,adwords_keyword_performance_20151223
rev,adwords_keyword_performance_20160115
